color;se_singular;se_plural;se_neutrum;dk_singular;dk_plural;dk_neutrum;no_singular;no_plural;no_neutrum;fi_singular;fi_plural;fi_neutrum;de_singular;de_plural;de_neutrum;nl_singular;nl_plural;nl_neutrum;fr_singular;fr_plural;fr_neutrum
all black;helsvart;helsvarta;helsvart;helt sort;helt sorte;helt sort;helt svart;helt svarte ;helt svart;kaikki mustaa;;;;;;;;;;;
apricot;;;;aprikos;aprikos;aprikos;aprikos;aprikos;aprikos;;;;;;;;;;;;
army green;militärgrön;militärgröna;militärgrönt;militærgrøn;militærgrønne;militærgrønt;militærgrønn;miltærgrønne;militærgrønt;armeijan vihreä;;;armeegrün;;;leger groen;;;armée verte;;
baby blue;baby blå;baby blå;baby blått;babyblå;babyblå;babyblåt;babyblå;babyblå;babyblått;vauvasininen;;;;;;babyblauw;;;;;
black;svart;svarta;svart;sort;sorte;sort;svart;svarte;;musta;;;schwarz;;;zwart;;;noire;;
blackish green;svartaktig grön;svartaktigt gröna;svartaktigt grönt;sortliggrøn;sortliggrønne;sortliggrønt;svartgrønn;svartgrønne;svartgrønt;mustanvihreä;;;;;;;;;;;
blue;blå;blå;blått;blå;blå;blåt;blå;blåe;blått;sininen;;;blau;;;blauw;;;bleue;;
bronze;brons;brons;brons;bronze;bronze;;bronse;bronse;;pronssi;;;;;;;;;;;
brown;brun;bruna;brunt;brun;brune;brunt;brun;brune;brunt;ruskea;;;braun;;;bruin;;;marron;;
camouflage blue;;;;camouflage blå;camouflage blå;camouflage blåt;kamuflasjeblå;kamuflasjeblåe;kamuflasjeblått;;;;;;;;;;;;
camouflage green;;;;camouflage grøn;camouflage grønne;camouflage grønt;kamuflasjegrønn;kamuflasjegrønne;kamuflasjegrønt;;;;;;;;;;;;
camouflage grey;;;;camouflage grå;camouflage grå;camouflage gråt;kamuflasjegrå;kamuflasjegråe;kamuflasjegrått;;;;;;;;;;;;
champagne;;;;champagne;champagne;champagne;champagne;champagne;champagne;;;;;;;;;;;;
clear;klar;klara;klart;klar;klare;klart;klar;klare;klart;;;;klar;;;;;;;;
coffee;kaffe;kaffe;kaffe;kaffe;kaffe;;kaffe;kaffe;;kahvi;;;kaffee;;;koffie;;;;;
color contrast;färgkontrast;färgkontraster;färgkonstrast ;farve kontrast;farve kontraster;farve kontrast;fargekontrast;fargekontraster;fargekontrast;;;;;;;;;;;;
contrast colors;kontrastfärg;konstrastfärger;konstrastfärgat;kontrast farve;kontrast farver;kontrast farvet;kontrastfarge;kontrastfarger;kontrastfarget;;;;;;;;;;;;
cyan;cyan;cyana;cyant;cyan;cyane;cyant;cyan;cyane;cyant;syaani;;;cyan;;;cyan;;;cyan;;
dark baby blue;mörk babyblå;mörk baby blå;mörk baby blått;mørk baby blå;mørk baby blå;mørk baby blåt;mørk babyblå;mørk babyblåe;mørk babyblått;tumma vauvan sininen;;;;;;;;;;;
dark blue;mörkblå;mörkblå;mörkblått;mørkeblå;mørkeblå;mørkeblåt;mørkeblå;mørkeblåe;mørkeblått;tummansininen;;;dunkelblau;;;donkerblauw;;;bleu foncé;;
dark brown;mörkbrun;mörkbruna;mörkbrunt;mørkebrun;mørkebrune;mørkebrunt;mørkebrun;mørkebrune;mørkebrunt;tumman ruskea;;;dunkelbraun;;;donker bruin;;;;;
dark gold;mörk guld;mörk guld;mörk guld;mørkt guld;mørke gyldne;mørkt guldt;mørk gylden;mørkegyldne;mørkegyldent;tumma kulta;;;;;;;;;;;
dark green;mörkgrön;mörkgröna;mörkgrönt;mørkegrøn;mørkegrønne;mørkegrønt;mørkegrønn;mørkegrønne;mørkegrønt;tummanvihreä;;;dunkelgrün;;;;;;;;
