feature;se;dk;no;fi;de;nl;fr
-shaped;;-formet;-formet;;;;
2in1;;2i1;2i1;;;;
360 degree;360 grader;360 graders;360-graders;;;;
360 swivel;;360 drejelig;360°-sving;;;;
butterfly imprint;fjärilsavtryck;sommerfugl tryk;;;;;
hand-held;handhållen;håndholdt;håndholdt;;;;
hand-strap;handrem;håndrem;;;;;
handheld;handhållen;håndholdt;håndholdt;;;;
hybrid;hybrid;hybrid;hybrid;;;;
imprint;avtryck;tryk;;;;;
kickstand;kickstand;kickstand;kickstand;;;;
pattern;mönster;mønster;mønster;;;;
patterned;mönstrad;mønstret;mønstret;;;;
print;;tryk;;;;;
printing;;tryk;;;;;
rotatable;roterbar;roterbart;roterbar;;;;
shockproof;stötsäker;stødsikker;støtsikker;;;;
style;;stilfuldt;stil;;;;
stylish;;stilfuldt;stilfull;;;;
texture;textur;tekstur;tekstur;;;;
tri-fold;;tre-fold;trippelt;;;;
two-fold;;to-folds;dobbelt;;;;
tyre;däck;dæk;dekk;;;;
tyre design;;dæk design;dekkdesign;;;;
ultra-thin;ultratunna;ultra tyndt;ultra tynn;;;;
durable;hållbar;holdbart;slitesterk;;;;
flower imprint;blommatryck;blomster tryk;;;;;
elephant emboss;;elefant tryk;;;;;
crocodile pattern;;krokodille mønster;;;;;
dual color;;to farvet;;;;;
-shape;;-form;;;;;
solid color;;solid farve;;;;;
