singular;plural;se_indefinite_article;se_singular;se_plural;dk_indefinite_article;dk_singular;dk_plural;no_indefinite_article;no_singular;no_plural;fi_indefinite_article;fi_singular;fi_plural;de_indefinite_article;de_singular;de_plural;nl_indefinite_article;nl_singular;nl_plural;fr_indefinite_article;fr_singular;fr_plural
alpaca;alpacas;1;alpacka;alpackor;1;alpaca;alpakaer;1;alpakka;alpakkaer;;;;;;;;;;;;
animal;animals;2;djur;djur;2;dyr;dyr;2;dyr;dyr;;;;;;;;;;;;
avocado;avocados;1;avokado ;avokador;1;avocado;avocado;1;avokado;avokadoer;;;;;;;;;;;;
background;backgrounds;1;bakgrund;bakgrunder;1;baggrund;baggrunde;1;bakgrunn;bakgrunner;;;;;;;;;;;;
balloon;balloons;;;;1;ballon;balloner;1;ballong;ballonger;;;;;;;;;;;;
bamboo;bamboos;1;bambuskott;bambuskott;1;bambus;bambus;1;bambus;bambus;;;;;;;;;;;;
banana;bananas;;;;1;banan;bananer;1;banan;bananer;;;;;;;;;;;;
beach;beaches;2;strand;stränder;1;strand;strande;1;strand;strender;;;;;;;;;;;;
bear;bears;1;björn;björnar;1;bjørn;bjørne;1;bjørn;bjørner;;;;;;;;;;;;
beauty;beauties;;;;1;skønhed;skønheder;;big ben;;;;;;;;;;;;;
big ben;big bens;;big ben;big ben;;big ben;;1;fugl;fugler;;;;;;;;;;;;
bird;birds;1;fågel;fåglar;1;fugl;fugle;1;sløyfe;sløyfer;;;;;;;;;;;;
bowknot;bowknots;;;;1;sløjfe;sløjfer;1;gutt;gutter;;;;;;;;;;;;
boy;boys;;;;1;dreng;drenge;1;grein;greiner;;;;;;;;;;;;
branch;branches;1;gren;grenar;1;gren;grene;1;sommerfugl;sommerfugler;;;;;;;;;;;;
butterfly;butterflies;1;fjäril;fjärilar;1;sommerfugl;sommerfugle;1;kaktus;;;;;;;;;;;;;
cactus;;1;kaktus;kaktusar;1;kaktus;;1;kake;kaker;;;;;;;;;;;;
cake;cakes;1;tårta;tårtor;1;kage;kager;;;;;;;;;;;;;;;
car;cars;;;;1;bil;biler;1;bil;biler;;;;;;;;;;;;
cartoon;;1;tecknad figur;tecknade figurer;;tegneserie;tegneserier;;tegneserie;tegneserier;;;;;;;;;;;;
castle;castles;;;;2;slot;slotte;2;slott;slott;;;;;;;;;;;;
cat;cats;1;katt;katter;1;kat;katte;1;katt;katter;;;;;;;;;;;;
cat head;cat heads;;;;2;kattehovede;kattehoveder;2;katthode;kattehoder;;;;;;;;;;;;
chrysanthemum;chrysanthemums;1;krysantemum;krysantemum;1;krysantemum;krysantemum;1;krysantemum;krysantemumer;;;;;;;;;;;;
circle;circles;1;cirkel;cirklar ;1;cirkel;cirkler;1;sirkel;sirkler;;;;;;;;;;;;
city;cities;;;;1;by;byer;;;;;;;;;;;;;;;
cloud;clouds;2;moln ;moln;1;sky;skyer;1;sky;skyer;;;;;;;;;;;;
colorful;colorfuls;;färgglad;färgglada;;farverig;colorfuls;;fargerik;fargerike;;;;;;;;;;;;
constellation;constellations;;;;1;stjernebillede;konstellstioner;;;;;;;;;;;;;;;
crown;crowns;;;;1;krone;kroner;;;;;;;;;;;;;;;
crying;;;gråter;gråter;;grædende;;;gråtende;;;;;;;;;;;;;
crystal;crystals;1;kristall;kristaller;1;krystal;krystaller;1;krystall;krystaller;;;;;;;;;;;;
cube;cubes;1;kub ;kuber;1;terning;terninger;1;terning;terninger;;;;;;;;;;;;
daisy;;1;tusensköna;tusenskönor ;1;marguerite;margueritter;1;tusenfryd;tusenfryder;;;;;;;;;;;;
dandelion;dandelions;1;maskros;maskrosor;1;mælkebøtte;mælkebøtter;1;melkebøtte;melkebøtter;;;;;;;;;;;;
diamond;diamonds;1;diamant;diamanter;1;diamant;diamanter;1;diamant;diamanter;;;;;;;;;;;;
dog;dogs;1;hund;hundar;1;hund;hunde;1;hund;hunder;;;;;;;;;;;;
dolphin;dolphins;1;delfin;delfiner;1;delfin;delfiner;1;delfin;delfiner;;;;;;;;;;;;
doughnut;doughnuts;1;munk;munkar;1;donut;donuts;1;smultring;smultringer;;;;;;;;;;;;
dragon;dragons;;;;1;drage;drager;;;;;;;;;;;;;;;
dream catcher;dream catchers;1;drömfångare;drömfångare;1;drømmefanger;drømmefanger;1;drømmefanger;drømmefanger;;;;;;;;;;;;
dreamcatcher;dreamcatcher;1;drömfångare;drömfångare;1;drømmefanger;drømmefanger;1;drømmefanger;drømmefanger;;;;;;;;;;;;
dreamy;;;;;;drømmende;;;;;;;;;;;;;;;;
eagle;eagle;1;örn;örnar;1;ørn;ørn;1;ørn;ørn;;;;;;;;;;;;
eiffel tower;eiffel towers;;eiffeltornet;eiffeltorn;;eiffel tårnet;eiffel tårne;;eiffeltårnet;eiffeltårn;;;;;;;;;;;;
eight;;;åtta;åttor;;otte;;;åtte;;;;;;;;;;;;;
