singular;plural;se_indefinite_article;se_singular;se_plural;dk_indefinite_article;dk_singular;dk_plural;no_indefinite_article;no_singular;no_plural;fi_indefinite_article;fi_singular;fi_plural;de_indefinite_article;de_singular;de_plural;nl_indefinite_article;nl_singular;nl_plural;fr_indefinite_article;fr_singular;fr_plural
alpaca;alpacas;1;alpacka;alpackor;1;alpaca;alpakaer;1;alpakka;alpakkaer;;;;;alpaka;alpakas;;alpaca;alpaca's;;;
animal;animals;2;djur;djur;2;dyr;dyr;2;dyr;dyr;;;;;tier;tiere;;dier;dieren;;;
avocado;avocados;1;avokado ;avokador;1;avocado;avocado;1;avokado;avokadoer;;;;;avocado;avocados;;avocado;avocado's;;;
background;backgrounds;1;bakgrund;bakgrunder;1;baggrund;baggrunde;1;bakgrunn;bakgrunner;;;;;hintergrund;hintergründe;;achtergrond;achtergronden;;;
balloon;balloons;;ballong;ballonger;1;ballon;balloner;1;ballong;ballonger;;;;;luftballon;luftballons;;ballon;ballonnen;;;
bamboo;bamboos;1;bambuskott;bambuskott;1;bambus;bambus;1;bambus;bambus;;;;;bambus;bambusse;;bamboe;bamboes;;;
banana;bananas;;banan;bananer;1;banan;bananer;1;banan;bananer;;banaani;;;banane;bananen;;banaan;bananen;;;
beach;beaches;2;strand;stränder;1;strand;strande;1;strand;strender;;;;;strand;strände;;strand;stranden;;;
bear;bears;1;björn;björnar;1;bjørn;bjørne;1;bjørn;bjørner;;;;;bär;bären;;beer;beren;;;
beauty;beauties;;;;1;skønhed;skønheder;;;;;;;;schönheit;schönheiten;;schoonheid;schoonheden;;;
bell;bells;;klocka;klockor;1;klokke;klokker;1;klokke;;;;;;glocke;glocken;;bel;bellen;;;
big ben;big bens;;big ben;big ben;;big ben;;;big ben;;;;;;großer ben;große ben;;big ben;grote beren;;;
bird;birds;1;fågel;fåglar;1;fugl;fugle;1;fugl;fugler;;lintu;;;vogel;vögel;;vogel;vogels;;;
blooming;;;;;;blomstrende;;;;;;;;;blühend;blühend;;bloeiend;;;;
bookshelf;bookshelfs;;bokhylla;;1;bogreol;bogreoler;1;bokhylle;;;;;;bücherregal;bücherregale;;boekenplank;boekenplanken;;;
bowknot;bowknots;;;;1;sløjfe;sløjfer;1;sløyfe;sløyfer;;;;;bogenknoten;bogenknoten;;strikje;strikjes;;;
boy;boys;;pojke;;1;dreng;drenge;1;gutt;gutter;;poika;;;junge;jungen;;jongen;jongens;;;
