material;se;dk;no;fi;de;nl;fr
faux fur;fuskpäls;kunstskind;;;;;
felt;känt;filt;;;;;
foam;skum;skum;;;;;
eva;EVA;EVA;;;;;
genuine leather;äkta läder;ægte læder;;;;;
glass;glas;glas;;;;;
metal;metall;metal;;;;;
neoprene;neopren;neopren;;;;;
plastic;plast;plastik;;;;;
pu leather;PU läder;PU Læder;;;;;
rhinestone;strass;rhinesten;;;;;
silicone;silikon;silikone;;;;;
tpu;TPU;TPU;;;;;
stone;sten;sten;;;;;
textile;textil;tekstil;;;;;
nylon;nylon;nylon;;;;;
wood;trä;træ;;;;;
soft;mjuk;blød;;;;;
gel;gel;gel;;;;;
glitter;glitter;glitter;;;;;
powder;pulver;pulver;;;;;
cowhide;koläder;koskind;;;;;
diamond;diamant;diamant;;;;;
handmade;handgjord;håndlavet;;;;;
stainless steel;rostfritt stål;rustfrit stål;;;;;
stainless;rostfritt;rustfrit;;;;;
steel;stål;stål;;;;;
crocodile coated;krokodilbelagd;krokodille belagt;;;;;
carbon fiber;kolfiber;kulfiber;;;;;
leather coated;läderbelagd;læder belagt;;;;;
cloth;trasa;klæde;;;;;
embroidery;broderi;broderi;;;;;
aluminium alloy ;aluminiumlegering;aluminiumlegering;;;;;
rubberized;gummerad;gummieret;;;;;
coated;tygbelagd;belagt;;;;;
woven;vävd;vævet;;;;;
electroplating;galvanisering;galvanisering;;;;;
rhinestone alloy;strasslegering;rhinestenslegering;;;;;
aluminum alloy;aluminiumlegering;aluminiumlegering;;;;;
aluminum frame;aluminiumram;aluminiumsramme;;;;;
embroidered;broderad;broderet;;;;;
leather;läder;læder;;;;;
handmade leather;handgjort läder;håndlavet læder;;;;;
lcd;LCD;LCD;;;;;
